t_index	term	df
1		1
2	0	6
3	0000	1
4	0136	1
5	015	6
6	02	1
7	021111206	1
8	06	3
9	07	1
10	0for5	1
11	1	93
12	10	152
13	100	59
14	1000	38
15	10000	26
16	100000	24
17	100000strong	2
18	10000seat	5
19	1000yearold	1
20	10016	1
21	10017	1
22	10018	1
23	1006	1
24	1008	1
25	100degre	1
26	101	4
27	10115	1
28	101150050	1
29	101162247	1
30	101mile	1
31	101milelong	1
32	1020	5
33	103	2
34	1030	5
35	1033	1
36	104	1
37	106th	1
38	107th	2
39	108	3
40	10800	1
41	10day	1
42	10minut	1
43	10monthlong	1
44	10page	2
45	10peopl	1
46	10stori	1
47	10th	13
48	10year	12
49	10yearold	4
50	11	65
51	110	1
52	1100	5
53	11000	3
54	110degre	1
55	111	1
56	1111	1
57	1118	3
58	1120	2
59	1122	1
60	1127	1
61	1130	5
62	1135	5
63	113yearold	1
64	115	1
65	1157	1
66	116	2
67	116yearold	6
68	117	1
69	118	41
70	118574	3
71	118man	1
72	119	1
73	1199	1
74	1199seiu	1
75	11judg	1
76	11member	1
77	11percentag	1
78	11th	8
79	11yearold	2
80	12	171
81	120	3
82	1200	19
83	12000	6
84	1202	1
85	120member	1
86	120seat	6
87	1215	7
88	123	3
89	124	2
90	1244	1
91	1245	1
92	125	5
93	1250	1
94	125000	3
95	12501	1
96	126683	2
97	128player	1
98	12gaug	1
99	12hour	1
100	12inch	1
101	12mile	2
102	12milelong	2
103	12stori	1
104	12strong	1
105	12th	15
106	12thseed	1
107	12year	5
108	12yearold	19
109	13	101
110	130	2
111	1300	2
112	13000	7
113	131	7
114	1314	2
115	1315	1
116	132	1
117	134	3
118	135	3
119	135000	1
120	137133	2
121	138page	2
122	139countri	1
123	13day	1
124	13match	1
125	13th	9
126	13thseed	1
127	13year	13
128	14	53
129	140	11
130	1400	3
131	14000	5
132	141000	2
133	143	2
134	1431	1
135	144	1
136	145	2
137	1450	1
138	14500	3
139	145mile	1
140	146	1
141	14650ton	1
142	146th	1
143	147	2
144	1498	2
145	1499	1
146	14th	2
147	14thseed	1
148	14year	3
149	14yearold	3
150	15	68
151	150	22
152	1500	17
153	15000	13
154	150000	19
155	150000plu	1
156	15000seat	1
157	1500foot	5
158	1500mile	2
159	151	2
160	1516	2
161	152	1
162	153	1
163	153000	2
164	1538	6
165	1545	3
166	155	2
167	15foothigh	3
168	15hour	5
169	15minut	6
170	15month	1
171	15nation	2
172	15seed	2
173	15th	5
174	15thseed	1
175	15yearold	1
176	16	71
177	160	2
178	1600	3
179	16000	2
180	160000	2
181	16148	3
182	163000	1
183	16317	1
184	1640	1
185	165	1
186	16557	1
187	168	1
188	16inch	1
189	16member	2
190	16page	1
191	16th	2
192	16thseed	1
193	16year	1
194	16yearold	8
195	17	190
196	170	2
197	1700	2
198	170000	1
199	17061	1
200	17090	1
201	172	1
202	175	1
203	176	4
204	176174	1
205	177	1
206	178	2
207	1784	1
208	1792	1
209	17th	1
210	17yearold	11
211	18	43
212	180	2
213	1800	2
214	18000	6
215	18002258550	1
216	18002577575	2
217	18002hunger	1
218	1800424adra	1
219	1800521care	1
220	18005355433	1
221	18005548583	1
222	180055crwrc	1
223	18006787255	1
224	18007363467	1
225	180077oxfam	1
226	18008897146	1
227	1800forkid	1
228	1800helpnow	2
229	1800lwrlwr2	1
230	1800sponsor	1
231	1819	1
232	182	2
233	1839	1
234	185	2
235	1869	1
236	187	1
237	1876	1
238	188	1
239	1881	1
240	1888	3
241	18883920392	1
242	188856child	1
243	18footdeep	2
244	18member	1
245	18monthold	5
246	18parti	9
247	18th	2
248	18year	1
249	18yearold	10
250	19	66
251	190	3
252	190000	3
253	1904	1
254	1906	1
255	1907	3
256	1909	1
257	1914	1
258	1920	2
259	1927	2
260	1928	5
261	193	1
262	1930	1
263	19303	1
264	1931	2
265	1932	2
266	1933	1
267	1937	1
268	1941	1
269	1944	1
270	1945	5
271	1947	2
272	1948	1
273	1950	12
274	1953	1
275	1954	4
276	1956	1
277	1957	2
278	1960	16
279	1961	4
280	1962	3
281	1963	2
282	1964	2
283	1965	1
284	1966	2
285	1967	16
286	1968	9
287	196878	2
288	1969	12
289	1970	17
290	1971	1
291	1972	7
292	1973	6
293	1974	5
294	1975	22
295	197577	1
296	1976	6
297	1977	9
298	197781	1
299	1978	2
300	1979	4
301	1980	43
302	1981	11
303	1982	4
304	1983	20
305	1984	6
306	1985	16
307	198590	2
308	1986	14
309	198687	1
310	1987	10
311	198794	1
312	1988	11
313	1989	17
314	1990	55
315	199099	1
316	1991	27
317	199192	1
318	199193	3
319	1992	49
320	1993	37
321	1994	38
322	1995	48
323	1996	95
324	199697	3
325	1997	38
326	199799	1
327	1998	104
328	199899	1
329	1999	64
330	19minut	1
331	19th	1
332	19yearold	12
333	1hour	3
334	1rank	1
335	1st	1
336	1yearold	2
337	2	67
338	20	133
339	200	48
340	2000	66
341	20000	19
342	200000	16
343	2000foot	2
344	2001	8
345	2002	12
346	2003	1
347	200300	1
348	20036	1
349	2004	5
350	2005	3
351	2006	1
352	2008	1
353	2010	1
354	201000	1
355	2015	1
356	2028576533	1
357	203	4
358	2035	1
359	204	1
360	209	4
361	20904	1
362	20footby40foot	2
363	20minut	1
364	20page	1
365	20percentag	1
366	20th	8
367	20thcenturi	1
